date,temp_max,temp_min,temp_avg,humidity_max,humidity_min,humidity_avg,windspeed_avg,solar_radiation_avg,precip,ETo,humedad_sonda
2022-05-27,27.3,6.0,17.3,84.5,23.4,47.9,1.7,29.5,0.0,5.8,30.91242787286064
2022-05-28,29.8,8.8,20.3,70.1,15.4,39.8,2.1,27.9,0.0,6.7,30.118541666666665
2022-05-29,27.7,8.1,19.4,72.7,11.9,38.1,3.0,29.2,0.0,7.3,29.76601527777777
2022-05-30,26.3,9.3,17.4,93.2,16.8,51.1,3.3,29.1,0.0,6.9,29.501266666666663
2022-05-31,29.8,7.4,19.6,75.4,12.5,44.3,1.8,30.8,0.0,6.7,29.37389027777778
2022-06-01,30.3,9.0,20.5,81.6,15.9,45.8,2.4,30.0,0.0,7.3,29.26230555555556
2022-06-02,26.5,8.6,19.3,79.6,28.7,49.9,1.9,20.5,0.0,4.9,29.048391666666667
2022-06-03,28.9,7.9,19.3,81.0,15.9,48.6,1.9,31.0,0.2,6.6,28.965765277777777
2022-06-04,27.5,8.1,18.8,75.9,10.3,41.9,2.4,30.8,0.0,7.0,28.81598456260721
2022-06-05,27.8,7.5,19.0,74.6,10.5,39.1,1.6,28.0,0.0,6.0,29.02724255319149
2022-06-07,32.1,8.7,21.7,59.4,12.1,33.1,1.9,30.8,0.0,7.3,28.730447368421054
2022-06-08,30.3,9.6,21.8,64.3,18.2,39.2,2.6,28.3,0.0,7.3,28.44950445103857
2022-06-09,30.5,10.9,22.4,72.0,29.7,48.1,1.9,29.9,0.0,6.6,28.37715105740181
2022-06-10,30.2,13.4,22.3,82.8,25.1,48.6,2.4,30.4,0.0,7.1,28.27238255033557
2022-06-11,30.2,12.2,21.6,68.5,18.8,39.5,2.6,30.5,0.0,7.5,27.822265789473683
2022-06-12,32.1,13.2,23.2,41.6,8.8,24.2,2.4,29.9,0.0,8.1,27.5509173553719
2022-06-13,36.2,14.6,25.5,40.1,11.6,22.9,2.1,25.8,0.0,8.1,27.3673309352518
2022-06-14,36.9,13.7,27.0,47.7,7.2,23.8,2.3,23.1,0.2,8.1,27.20019277108433
2022-06-15,34.7,18.2,26.7,50.2,15.4,29.8,2.6,24.4,0.0,8.1,26.523845588235293
2022-06-16,34.5,15.6,25.7,59.9,18.4,34.6,2.4,27.6,0.0,7.9,26.292038793103448
2022-06-17,34.1,16.6,25.6,43.2,14.2,27.1,3.2,28.6,0.0,9.2,26.160281124497992
2022-06-18,33.8,15.9,25.6,46.0,14.9,27.6,3.2,28.9,0.0,9.1,25.87502403846154
2022-06-19,32.1,13.4,23.1,54.5,10.3,31.6,3.1,29.7,0.0,8.8,25.317768786127168
2022-06-20,31.5,11.4,23.2,61.5,14.6,34.3,2.9,25.6,0.0,7.7,25.089851211072663
2022-06-22,25.7,7.3,17.1,96.9,15.8,52.4,2.9,29.5,0.0,6.6,27.753110817941952
2022-06-23,26.3,7.5,17.8,81.7,21.4,45.9,2.5,30.4,0.0,6.5,27.29371497584541
2022-06-24,27.5,7.9,18.9,71.2,13.3,42.5,2.2,30.5,0.0,6.7,26.666365914786965
2022-06-25,28.9,9.2,20.4,68.9,11.1,37.9,1.9,30.5,0.0,6.7,26.006531413612567
2022-06-28,30.1,11.4,20.8,94.8,19.6,55.8,1.9,29.8,0.0,6.6,24.99695744680851
2022-06-29,31.3,12.0,22.1,70.0,21.3,44.1,1.9,29.3,0.0,6.9,24.31470833333333
2022-06-30,31.5,11.5,22.3,68.7,17.8,42.8,2.0,29.0,0.0,7.0,24.003666666666664
2022-07-01,29.1,12.4,21.2,87.9,32.7,52.1,3.0,29.3,0.0,6.8,23.74139583333333
2022-07-02,30.9,13.8,22.4,94.4,35.2,59.3,2.5,28.1,0.0,6.6,23.631875
2022-07-03,35.2,14.8,25.5,86.4,20.0,51.3,2.7,26.3,0.0,8.0,23.527416666666667
2022-07-04,35.7,14.8,25.7,91.6,13.9,48.1,2.2,27.4,0.0,7.8,23.25854166666667
2022-07-05,35.2,17.8,26.1,80.2,17.0,46.6,3.0,22.7,0.0,8.1,24.20104166666667
2022-07-06,32.8,16.4,24.1,96.4,6.4,55.8,2.9,29.8,0.0,8.5,26.83575
2022-07-07,29.8,13.6,22.3,96.2,34.1,63.8,2.1,26.2,0.0,5.9,26.467583333333334
2022-07-08,31.7,14.3,22.9,90.9,22.7,53.2,2.3,29.3,0.0,7.1,25.75539583333333
2022-07-09,31.7,14.6,23.5,68.6,19.9,43.4,2.2,29.5,0.0,7.3,24.8993125
2022-07-10,32.3,14.2,24.0,69.5,21.2,40.7,2.7,29.1,0.0,7.8,24.196541666666665
2022-07-11,32.0,13.6,23.8,56.5,15.5,34.2,2.7,29.0,0.0,8.0,23.539875
2022-07-12,32.6,12.6,23.8,61.6,13.9,33.3,2.6,29.1,0.0,8.0,23.0035625
2022-07-13,34.5,15.0,25.2,52.3,14.3,29.4,2.5,28.9,0.0,8.4,22.62751612903226
2022-07-14,35.7,15.0,26.0,38.9,11.8,24.9,2.1,28.3,0.0,8.1,22.288545454545456
2022-07-15,34.1,14.7,25.1,49.7,6.2,30.5,2.6,29.2,0.0,8.6,21.815270833333333
2022-07-16,33.6,14.9,24.8,55.1,11.4,31.8,2.6,29.1,0.0,8.3,21.478791666666663
2022-07-17,32.9,14.2,24.4,55.0,15.8,32.6,2.7,29.4,0.0,8.2,21.156854166666665
2022-07-18,34.5,14.2,25.1,53.5,14.0,32.4,2.7,28.7,0.0,8.5,20.87847916666667
2022-07-19,35.7,15.5,25.6,64.4,13.0,35.0,2.1,27.8,0.0,7.9,20.6686875
2022-07-20,34.3,14.1,24.8,63.4,10.7,38.7,2.4,28.8,0.0,8.1,20.337729166666666
2022-07-21,32.5,15.3,24.3,67.0,20.8,43.8,2.9,28.5,0.0,8.0,20.149354166666665
2022-07-22,34.9,14.9,25.4,74.4,14.9,42.3,2.2,24.1,0.0,7.3,20.275020833333333
2022-07-23,36.9,15.2,26.2,53.9,7.9,31.3,2.4,27.6,0.0,8.7,20.2875625
2022-07-24,37.5,14.1,27.1,52.5,6.9,29.4,2.3,28.4,0.0,8.7,19.796291666666665
2022-07-25,37.1,16.1,28.3,46.5,10.1,22.1,2.6,23.9,0.0,8.4,19.424916666666665
2022-07-26,35.2,14.6,26.2,72.0,6.7,23.7,2.6,28.5,0.0,8.5,19.01920833333333
2022-07-27,34.3,13.8,24.2,81.6,12.2,50.5,2.3,27.0,0.0,7.7,18.77464583333333
2022-07-28,34.3,14.6,24.9,82.7,10.7,42.8,2.2,28.5,0.0,7.7,18.6806875
2022-07-29,36.1,15.1,26.3,82.1,11.7,42.2,2.4,27.8,0.0,8.2,18.53170833333333
2022-07-30,32.7,17.7,24.1,95.9,30.2,68.7,2.6,18.9,0.0,6.0,18.595354166666667
2022-07-31,35.5,15.2,24.5,94.5,14.3,55.4,2.5,27.7,0.0,8.1,18.6834375
2022-08-01,33.6,15.3,24.2,87.9,24.1,58.8,2.1,25.2,7.8,6.7,20.204604166666662
2022-08-02,32.8,16.1,24.4,90.3,23.5,51.3,2.2,22.0,0.0,6.3,23.86164583333333
2022-08-03,35.2,15.5,24.9,62.0,14.1,37.9,2.5,24.8,0.0,8.0,23.816541666666662
2022-08-04,32.6,15.4,24.1,57.2,17.2,37.4,3.2,26.4,0.0,8.3,23.100104166666668
2022-08-05,33.9,14.2,24.4,65.7,13.9,38.4,2.8,28.6,0.0,8.3,22.092875000000003
2022-08-06,32.3,15.5,24.2,67.3,16.0,35.9,3.3,28.4,0.0,8.3,21.0678125
2022-08-07,33.5,13.8,24.0,66.4,10.3,37.4,2.2,28.7,0.0,7.6,20.2120625
2022-08-08,32.6,15.3,24.1,71.7,19.1,42.4,2.5,28.1,0.0,7.4,19.5163125
2022-08-09,31.7,15.4,24.0,71.8,15.7,40.3,3.6,23.2,0.0,7.9,19.0204375
2022-08-10,31.0,16.7,24.3,62.0,23.6,40.3,3.5,26.5,0.0,7.8,18.63147916666667
2022-08-11,32.7,16.2,24.5,63.7,19.0,35.9,3.4,27.2,0.0,8.3,18.297208333333334
2022-08-12,37.2,14.4,24.6,67.3,12.9,41.7,2.0,21.3,0.8,7.4,19.888145833333333
2022-08-13,33.1,16.8,23.4,91.5,24.1,55.4,2.8,18.1,8.4,6.5,25.3784375
2022-08-14,32.4,15.6,23.3,86.6,22.7,51.6,2.6,20.7,0.0,6.5,29.815479166666663
2022-08-15,30.7,11.6,21.5,73.6,12.0,40.3,2.3,28.3,0.0,7.0,30.082375
2022-08-16,29.8,11.0,21.0,66.8,9.4,38.0,2.1,28.1,0.0,6.6,29.4319375
2022-08-17,28.1,11.9,20.6,60.7,9.0,35.8,2.0,27.8,0.0,6.3,28.5075
2022-08-18,29.0,9.8,20.4,65.5,16.4,42.1,1.7,27.5,0.0,5.9,27.766041666666663
2022-08-19,30.9,12.2,21.4,63.4,16.6,42.3,2.2,27.5,0.0,6.8,27.063333333333333
2022-08-20,33.3,12.6,23.1,80.1,14.8,47.0,2.2,27.1,0.0,7.1,26.4704375
2022-08-21,34.1,12.2,24.0,76.3,11.8,38.0,2.4,26.8,0.0,7.5,25.698604166666662
2022-08-22,34.2,13.9,24.5,71.4,9.5,37.2,2.4,26.2,0.0,7.6,24.9158125
2022-08-23,31.6,16.2,23.8,73.3,26.0,49.0,2.3,25.9,0.0,6.5,24.25177083333333
2022-08-24,32.2,14.8,23.9,75.6,20.2,45.3,2.1,22.4,0.0,6.1,23.616520833333336
2022-08-25,32.1,14.8,23.5,76.9,13.6,47.9,2.1,25.5,0.0,6.6,23.083916666666667
2022-08-26,29.9,15.2,21.5,96.1,32.6,64.4,2.9,23.9,11.6,6.0,23.69741666666667
2022-08-27,28.0,12.9,20.3,98.3,36.9,70.9,2.1,25.4,0.2,5.2,33.078583333333334
2022-08-28,28.6,14.8,21.9,94.6,34.6,60.6,3.3,25.2,0.0,6.0,32.841145833333336
2022-08-29,28.9,16.2,22.2,82.6,28.9,54.2,2.1,10.3,0.4,4.1,31.70404166666667
2022-08-30,32.8,15.1,22.8,91.8,23.4,52.6,2.8,14.9,1.8,6.0,31.37377083333333
2022-08-31,29.2,15.3,22.1,96.8,33.5,63.7,2.9,20.1,0.2,5.4,32.46333333333333
2022-09-01,30.6,13.5,22.2,86.7,12.7,45.6,2.6,21.3,0.0,6.3,31.4753125
2022-09-02,29.4,14.4,22.1,62.9,19.5,36.4,3.3,20.6,0.0,6.7,30.83714583333333
2022-09-03,28.8,13.6,20.9,68.7,18.4,41.1,2.9,23.9,0.0,6.5,30.1811875
2022-09-04,30.4,9.8,20.6,74.5,15.0,41.4,1.6,25.1,0.0,5.5,29.55958333333333
2022-09-05,29.9,9.7,20.5,72.0,11.9,37.4,2.0,24.7,0.0,5.9,28.91745833333333
2022-09-06,30.5,8.3,20.6,67.8,5.8,36.2,2.0,25.1,0.0,6.1,28.3173125
2022-09-07,30.0,10.2,20.9,65.3,10.0,35.7,2.6,22.8,0.0,6.5,27.74716666666667
2022-09-08,30.2,8.9,20.7,68.4,15.2,36.4,2.1,24.5,0.0,5.9,27.28916666666667
2022-09-09,31.3,11.0,21.8,66.3,19.9,42.2,2.3,23.9,0.0,6.2,26.9418125
2022-09-10,32.8,13.0,22.7,70.0,10.6,45.8,2.2,24.0,0.0,6.6,26.6018125
2022-09-11,33.5,14.0,22.9,77.2,18.8,47.0,2.4,19.8,0.0,6.4,26.20264583333333
2022-09-12,32.8,16.1,22.3,79.0,19.1,48.5,2.7,14.8,1.2,6.3,27.26408333333333
2022-09-13,22.9,16.7,19.2,95.9,50.7,75.0,2.0,7.6,4.6,2.4,33.730354166666665
2022-09-14,24.3,12.6,18.2,88.4,37.4,62.1,2.7,15.3,0.2,4.0,34.65027083333333
2022-09-15,25.6,9.3,17.8,95.9,30.4,61.1,2.0,22.6,0.0,4.4,32.956520833333336
2022-09-16,27.0,12.1,19.6,89.4,29.2,58.3,1.4,21.3,0.0,4.1,32.4844375
2022-09-17,26.5,12.2,19.6,88.2,33.5,59.6,2.8,22.3,0.0,5.0,31.878
2022-09-18,23.6,14.8,18.8,93.8,52.6,75.1,3.1,13.5,0.0,3.3,31.16302083333333
2022-09-19,26.0,11.9,19.1,95.9,36.5,64.8,1.8,21.0,0.0,4.1,30.9708125
2022-09-20,27.2,11.2,19.4,87.7,30.1,60.7,2.0,19.8,0.0,4.4,30.530104166666664
2022-09-21,24.5,13.2,17.4,96.1,35.5,71.4,1.8,13.8,2.2,3.3,30.4824375
2022-09-22,25.4,8.8,16.7,99.9,33.8,75.2,1.3,18.6,0.0,3.4,31.895625
2022-09-23,26.2,9.9,18.0,97.5,26.7,68.2,1.8,17.8,0.0,4.0,32.75425
2022-09-24,26.6,9.6,18.1,96.7,24.4,55.5,2.5,19.1,0.0,4.7,31.2029375
2022-09-25,24.2,7.5,16.0,96.4,34.6,62.6,2.4,18.2,0.0,3.9,29.3170625
2022-09-26,22.0,10.5,15.6,97.5,18.8,61.4,1.9,19.7,0.0,3.8,29.197354166666667
2022-09-27,22.2,5.7,14.4,71.3,22.1,46.2,2.6,21.3,0.0,4.4,28.38927083333333
2022-09-28,23.1,6.9,15.6,68.8,24.5,45.5,3.0,21.1,0.0,4.8,28.015583333333336
2022-09-29,20.9,9.7,14.5,89.9,29.6,58.7,4.6,16.9,2.4,4.5,27.735354166666667
2022-09-30,18.6,5.1,12.2,98.1,30.1,57.5,2.3,20.4,0.0,3.3,27.750625
2022-10-01,21.0,3.1,12.4,83.2,21.2,52.7,1.9,20.9,0.0,3.7,27.36577083333333
2022-10-02,25.8,5.5,16.0,83.0,12.9,44.5,2.6,20.1,0.0,5.1,27.13127083333333
2022-10-03,27.8,14.5,18.8,74.9,25.3,50.9,3.1,13.8,1.4,5.3,29.0921875
2022-10-04,24.6,10.9,16.9,84.4,31.1,60.0,1.6,15.6,0.0,3.3,31.72489583333333
2022-10-05,22.4,9.6,15.9,91.2,48.2,73.7,2.3,17.7,0.0,3.2,30.02902083333333
2022-10-06,19.6,10.3,14.6,97.7,50.3,81.5,2.4,12.5,0.2,2.5,29.12270833333333
2022-10-07,21.3,8.5,14.8,97.1,43.7,74.2,2.0,17.8,0.0,3.0,28.78683333333333
2022-10-08,22.2,8.9,15.1,99.8,40.9,76.1,2.3,16.9,0.0,3.2,28.4574375
2022-10-09,22.3,8.7,14.9,98.0,46.7,81.2,2.2,16.7,10.2,3.0,30.3026875
2022-10-10,19.9,10.5,14.2,100.0,64.3,92.8,1.6,10.5,9.2,1.8,35.8634375
2022-10-11,19.0,8.8,13.2,97.8,53.5,84.2,1.7,12.3,1.0,2.1,35.524875
2022-10-12,19.0,8.5,13.5,98.2,53.7,83.9,2.1,10.4,0.0,2.1,34.48772916666667
2022-10-13,21.9,6.9,13.9,98.4,36.1,70.6,1.5,14.1,0.2,2.6,33.204708333333336
2022-10-14,25.1,6.3,14.8,97.4,17.4,62.0,1.3,14.3,0.0,3.1,32.19220833333333
2022-10-15,26.8,7.1,16.7,82.9,21.5,51.5,2.3,13.3,0.0,4.2,31.35264583333333
2022-10-16,23.4,7.4,15.6,83.6,25.6,57.0,1.6,8.7,0.2,2.8,30.6138125
2022-10-17,26.1,11.6,17.8,89.4,28.7,61.0,2.1,10.8,0.0,3.5,30.537291666666665
2022-10-18,28.9,10.8,18.7,84.0,22.2,55.5,2.1,10.7,0.0,4.1,30.25770833333333
2022-10-19,28.9,13.6,20.3,76.3,21.7,48.1,2.3,10.4,0.0,4.3,30.09120833333333
2022-10-20,23.0,14.7,18.5,79.7,32.6,53.3,1.8,4.9,0.0,2.5,29.675875
2022-10-21,24.1,11.7,17.7,82.6,28.8,50.0,3.2,10.8,0.0,4.0,29.493041666666667
2022-10-22,26.9,9.5,17.8,84.2,18.8,47.6,2.8,10.3,0.0,4.5,29.2645
2022-10-23,23.6,11.5,17.4,62.7,25.1,40.1,2.5,8.0,0.0,3.7,28.989875
2022-10-24,26.4,9.0,17.0,64.6,15.4,37.8,2.7,11.1,0.0,4.7,28.80877083333333
2022-10-25,27.3,9.7,17.8,54.6,14.4,33.8,2.8,9.4,0.0,5.0,28.5713125
2022-10-26,26.4,11.3,18.1,54.9,18.4,35.8,1.7,9.4,0.0,3.5,28.457104166666667
2022-10-27,28.9,9.9,17.8,53.8,13.4,35.2,2.2,12.4,0.0,4.8,28.297187500000003
2022-10-28,26.0,8.0,16.1,60.2,13.3,39.9,2.5,11.4,0.0,4.5,28.05958333333333
2022-10-29,25.6,7.0,15.0,69.3,15.6,45.9,2.2,11.5,0.0,4.0,27.8413125
2022-10-30,24.5,9.7,15.7,79.3,16.8,54.0,2.3,8.7,0.0,3.7,27.75086956521739
2022-10-31,24.6,7.5,16.0,72.8,17.4,43.6,2.5,7.7,0.0,3.9,27.5818125
2022-11-01,23.6,6.7,15.4,75.7,26.4,48.9,2.3,12.1,0.0,3.3,27.52316666666667
2022-11-02,23.2,6.2,14.4,97.4,29.6,67.4,2.0,11.6,0.0,2.8,27.390479166666665
2022-11-03,17.7,6.1,11.7,98.4,44.8,74.3,3.1,7.9,0.0,2.3,27.217604166666664
2022-11-04,18.4,3.9,12.1,96.8,26.6,69.4,4.0,10.2,0.0,3.3,27.148104166666663
2022-11-05,20.2,-0.4,9.2,92.7,10.2,56.7,1.7,12.1,0.0,2.8,26.77060416666667
2022-11-06,21.0,-0.8,9.5,69.0,17.6,42.2,1.8,12.2,0.0,2.9,26.54795833333333
2022-11-07,23.5,0.4,10.9,59.5,14.2,37.8,1.9,14.5,0.0,3.5,26.3938125
2022-11-08,19.2,0.2,9.6,70.0,26.2,52.2,2.1,11.4,0.0,2.7,26.25977083333333
2022-11-09,18.2,3.3,9.8,100.0,44.9,77.3,2.1,9.6,0.2,2.0,26.267479166666664
2022-11-10,17.3,3.5,10.0,100.0,37.0,78.0,1.5,12.8,0.2,1.8,26.317229166666667
2022-11-11,14.6,7.0,10.7,86.4,56.6,76.9,3.1,8.9,0.0,1.8,26.312833333333334
2022-11-12,17.8,8.6,13.1,87.7,46.9,74.8,3.6,8.8,0.0,2.4,26.46964583333333
2022-11-13,19.0,4.3,10.8,88.7,38.9,71.2,1.5,13.5,0.0,1.9,26.288291666666662
2022-11-14,17.8,2.4,10.1,94.7,43.2,71.7,1.8,10.7,0.0,1.8,26.1244375
2022-11-15,17.3,6.2,11.6,100.0,43.8,76.6,4.5,8.1,0.0,2.5,26.1141875
2022-11-16,14.7,10.5,11.9,100.0,50.3,78.4,4.4,4.1,0.6,1.9,30.48183333333333
2022-11-17,17.8,8.7,13.2,99.9,47.2,76.5,5.6,11.5,0.0,2.7,31.5485625
2022-11-18,13.2,5.1,9.2,99.9,53.5,73.1,4.3,5.6,1.2,1.7,31.1398125
2022-11-19,8.3,2.5,5.9,81.8,42.6,58.2,4.7,11.9,0.0,1.9,31.575375
2022-11-20,15.0,2.1,7.4,96.5,40.8,67.4,3.4,13.3,0.0,2.2,30.43733333333333
2022-11-21,15.6,2.8,9.5,100.0,40.1,76.9,7.5,9.3,3.2,3.0,30.079229166666668
2022-11-22,10.5,4.7,7.8,88.3,43.6,66.8,7.3,9.9,0.0,2.4,30.11025
2022-11-23,15.8,9.4,12.0,89.0,54.9,73.1,6.7,7.3,0.0,2.5,29.644895833333333
2022-11-24,17.0,6.8,10.5,100.0,52.1,86.5,1.7,9.0,0.0,1.4,29.15775
2022-11-25,17.6,1.9,9.8,100.0,31.0,75.6,2.4,10.8,0.0,2.2,28.6709375
2022-11-26,18.9,-3.4,5.9,92.0,5.3,49.4,1.5,13.1,0.0,2.4,27.8375625
2022-11-27,19.4,-2.2,7.2,56.6,7.7,34.3,1.6,11.1,0.0,2.6,27.32752083333333
2022-11-28,11.7,0.2,7.4,68.8,25.9,46.4,3.4,12.7,0.0,2.3,27.023666666666667
2022-11-29,11.7,-5.8,2.7,82.2,30.7,58.0,1.4,12.4,0.0,1.3,26.61025
2022-11-30,12.7,-4.8,4.3,74.4,24.6,51.4,1.3,10.8,0.0,1.4,26.373708333333337
2022-12-01,10.6,-0.4,5.2,81.9,50.0,65.8,1.9,6.1,0.0,1.2,26.31052083333333
2022-12-02,7.5,4.3,5.7,88.0,68.1,78.9,2.7,4.0,0.0,1.0,26.212
2023-01-13,12.9,-1.6,4.2,100.0,36.8,78.7,1.4,9.4,0.0,1.3,25.869137931034484
2023-01-14,14.1,-3.8,4.3,83.2,22.0,55.8,2.0,11.6,0.0,2.0,25.7375
2023-01-15,13.8,-3.8,5.3,91.3,40.7,67.0,3.6,10.7,0.0,2.2,25.660375
2023-01-16,9.2,0.9,5.4,79.9,46.1,65.8,8.0,11.0,0.0,2.3,25.55933333333333
2023-01-17,12.6,3.5,8.4,87.1,42.6,57.1,9.8,10.8,0.8,3.0,25.57925
2023-01-18,4.3,-1.8,1.7,95.6,50.2,68.0,6.0,8.4,2.0,1.4,27.026979166666667
2023-01-19,5.5,-3.6,1.6,83.8,47.6,65.3,5.1,13.0,0.0,1.6,28.4104375
2023-01-20,11.2,3.3,6.1,100.0,47.7,81.1,4.5,9.3,0.0,1.8,28.11295833333333
2023-01-21,10.3,0.8,5.2,100.0,36.4,74.4,3.4,8.6,0.0,1.8,27.6726875
2023-01-22,5.4,-3.4,1.0,61.2,27.2,40.0,2.9,13.7,0.0,1.8,26.971541666666667
2023-01-23,4.9,-5.9,0.1,64.4,35.6,47.4,2.0,13.7,0.0,1.3,26.479229166666663
2023-01-24,4.3,-6.0,-0.8,82.3,47.0,62.5,2.1,10.1,0.0,1.1,26.258604166666668
2023-01-25,5.8,-8.2,-0.8,85.3,44.0,66.7,1.8,12.0,0.0,1.1,25.99002083333333
2023-01-26,3.9,-5.2,-0.4,86.8,51.5,67.0,2.5,6.4,0.0,1.0,25.881229166666667
2023-01-27,6.8,-8.5,-0.7,99.9,38.2,70.8,2.7,11.9,0.0,1.4,25.7494375
2023-01-28,6.4,-8.9,-1.2,80.7,31.6,58.1,1.6,13.9,0.0,1.3,25.601770833333333
2023-01-29,7.1,-8.5,-0.1,79.9,35.7,61.8,1.9,14.1,0.0,1.4,25.50016666666667
2023-01-30,8.8,-4.8,2.2,85.1,37.4,62.8,1.4,13.4,0.0,1.3,25.849979166666667
2023-01-31,12.0,-8.3,1.0,81.8,9.5,51.6,1.8,14.9,0.0,2.1,25.61925
2023-02-01,13.8,-5.6,2.9,92.9,13.2,52.2,1.7,15.0,0.0,2.1,25.56747916666667
2023-02-02,12.3,-6.3,2.5,95.5,14.7,51.4,2.2,14.9,0.0,2.2,25.528166666666667
2023-02-03,13.8,-6.6,3.1,54.4,14.9,35.5,2.0,15.4,0.0,2.5,25.38835416666667
2023-02-04,17.4,-6.1,4.7,59.0,8.1,32.6,1.7,15.7,0.0,2.8,25.37125
2023-02-05,15.8,-6.0,5.1,59.5,13.1,34.5,2.0,15.8,0.0,2.7,25.3560625
2023-02-06,12.7,-6.7,2.2,95.4,25.8,65.5,3.0,14.8,2.2,2.5,25.2213125
2023-02-07,4.7,0.7,2.5,99.3,78.6,91.3,2.8,2.9,0.8,0.6,25.055229166666667
2023-02-08,8.1,1.2,4.3,94.3,60.5,80.6,2.8,8.0,0.0,1.2,25.193250000000003
2023-02-09,7.1,2.1,3.8,94.2,59.9,80.9,2.6,7.5,0.0,1.2,25.10008333333333
2023-02-10,5.1,-0.9,1.8,95.5,53.2,78.3,3.4,7.4,0.4,1.2,25.300166666666662
2023-02-11,5.1,0.0,2.3,91.5,77.1,86.6,3.4,5.2,2.0,0.8,25.197645833333336
2023-02-12,6.1,1.2,3.7,93.8,66.5,84.9,2.9,5.8,0.4,1.0,25.190458333333336
2023-02-13,7.5,0.2,4.1,94.0,66.9,80.9,2.6,7.4,0.0,1.1,25.42489583333333
2023-02-14,6.4,1.5,4.1,91.0,74.8,83.6,3.4,5.4,0.0,1.0,25.474520833333333
2023-02-15,6.9,1.9,4.8,95.1,75.3,85.7,3.1,3.8,0.0,0.9,25.51308333333333
2023-02-16,11.5,-2.0,5.0,100.0,47.0,74.7,2.5,11.5,0.2,1.7,25.5954375
2023-02-17,10.5,0.4,5.5,87.4,47.9,69.6,3.6,8.5,0.0,1.9,25.550854166666667
2023-02-18,11.7,2.9,7.0,86.0,45.0,66.1,3.0,7.2,0.2,1.9,25.600166666666667
2023-02-19,14.1,1.9,7.6,75.5,32.1,56.0,2.7,10.5,0.0,2.5,25.56470833333333
2023-02-20,15.7,2.7,8.4,63.5,28.6,46.1,2.9,12.4,0.0,3.1,25.533395833333334
