date,temp_min,temp_avg,temp_max,humidity_min,humidity_avg,humidity_max,windspeed_avg,precip,solar_radiation_avg,ETo,humedad_sonda
2022-05-13,10.4,18.8,28.7,21.0,56.0,89.0,0.9,0.0,23.8,4.056131877760131,26.44916981132076
2022-05-14,10.4,18.7,27.0,21.0,56.0,90.0,0.7,0.0,27.4,4.381474105589367,22.14402083333333
2022-05-15,11.4,20.0,28.9,19.0,52.0,81.0,0.9,0.0,28.3,4.646091677618471,20.63477083333333
2022-05-16,12.5,20.2,27.9,23.0,58.0,88.0,1.0,0.0,30.2,4.975681538559716,19.68016666666667
2022-05-17,12.6,21.5,32.1,11.0,55.0,89.0,0.6,0.0,30.0,4.9057018304812114,18.889666666666667
2022-05-18,12.1,21.1,30.1,20.0,54.0,90.0,0.9,0.0,29.5,4.94849898751073,18.160833333333333
2022-05-19,10.5,20.8,31.0,14.0,47.0,83.0,1.2,0.0,29.6,4.958186201380291,17.62425
2022-05-20,11.4,21.5,31.2,20.0,47.0,74.0,1.1,0.0,27.1,4.6960999341001575,17.182291666666668
2022-05-21,11.0,21.3,32.2,10.0,47.0,81.0,0.8,0.0,19.3,3.5888431947640265,16.869958333333333
2022-05-22,11.6,22.4,31.4,10.0,38.0,68.0,0.5,0.0,20.9,3.6200546131299,16.497833333333332
2022-05-23,14.9,21.3,30.4,10.0,48.0,82.0,1.8,0.0,30.6,5.418697480550519,16.077166666666667
2022-05-24,13.1,20.4,29.6,15.0,41.0,72.0,1.1,0.0,28.6,4.8408831300612345,15.7866875
2022-05-25,10.5,17.0,27.0,12.0,44.0,89.0,1.2,0.0,31.2,4.976410097808772,15.654708333333334
2022-05-26,6.4,14.8,24.8,26.0,63.0,93.0,0.8,0.0,30.8,4.634412090720394,15.6093125
2022-05-27,7.3,18.0,28.1,18.0,50.0,85.0,0.8,0.0,29.5,4.621821512441162,15.348875
2022-05-28,9.2,19.9,31.3,13.0,46.0,73.0,0.6,0.0,27.9,4.498284893413449,15.014208333333334
