date,ETo,humidity_max,humidity_avg,humidity_min,precip,solar_radiation_avg,temp_max,temp_avg,temp_min,windspeed_avg,humedad_sonda
2022-05-10,5.1,95.35,61.87,33.22,0.0,29.82,26.16,18.19,9.06,1.16,30.489448275862067
2022-05-11,5.13,96.05,63.36,31.7,0.0,29.51,26.71,18.13,9.63,1.17,29.924645833333333
2022-05-12,4.36,94.97,65.78,31.56,0.0,25.04,25.55,17.72,9.25,0.87,29.26233333333333
2022-05-13,5.18,94.75,66.54,34.03,0.0,27.74,29.4,20.33,11.78,1.06,28.75658333333333
2022-05-14,5.38,94.63,58.58,29.87,0.0,28.39,28.5,20.4,12.46,1.26,28.175916666666662
2022-05-15,5.21,88.5,58.71,25.74,0.0,28.51,29.46,20.55,11.03,0.88,27.5654375
2022-05-16,5.59,94.73,62.47,32.52,0.0,29.69,31.45,22.71,13.9,0.86,26.9648125
2022-05-17,5.51,93.75,61.72,30.52,0.1,28.85,32.61,23.42,14.57,0.74,26.307770833333333
2022-05-18,5.8,94.83,61.82,30.78,0.0,29.25,31.36,23.03,15.19,1.15,25.61010416666667
2022-05-19,5.68,90.72,60.08,24.75,0.0,29.43,30.67,21.66,12.67,1.09,24.884604166666666
2022-05-20,5.52,86.32,60.43,31.29,0.0,27.22,31.38,22.62,15.29,1.1,24.291104166666667
2022-05-21,5.41,90.12,56.05,24.32,0.0,27.38,32.05,22.47,14.27,0.88,23.79697916666667
2022-05-22,5.24,88.88,51.56,21.5,0.0,25.21,33.76,23.44,12.01,0.85,23.263479166666663
2022-05-23,5.88,78.66,47.09,26.29,0.0,30.12,33.52,25.72,18.26,0.7,22.941
2022-05-24,5.42,79.8,49.35,24.63,0.0,25.63,31.02,23.71,15.65,1.11,22.497666666666664
2022-05-25,4.86,86.13,50.39,29.9,0.0,27.12,24.05,18.5,12.61,1.19,22.0958125
2022-05-26,5.07,92.87,59.66,29.41,0.0,30.77,26.35,18.75,10.25,0.65,21.767
2022-05-27,5.54,87.38,51.8,20.21,0.0,30.94,31.97,21.89,10.88,0.64,21.37925
2022-05-28,5.95,91.25,51.46,24.1,0.0,30.36,32.85,23.11,12.38,0.97,20.941041666666667
2022-05-29,5.56,80.93,41.69,13.79,0.0,29.83,35.55,24.89,13.63,0.52,20.47102083333333
2022-05-30,5.54,65.3,44.18,22.3,0.0,29.3,31.79,24.22,17.96,0.63,19.966479166666662
2022-05-31,6.08,86.9,52.62,30.41,0.0,30.31,31.2,23.34,14.34,1.26,19.566875
2022-06-01,5.96,93.78,62.98,37.28,0.0,29.97,31.31,23.04,13.88,1.28,19.23139583333333
