date,ETo,humidity_max,humidity_avg,humidity_min,precip,solar_radiation_avg,temp_max,temp_avg,temp_min,windspeed_avg,humedad_sonda
2022-05-18,5.36,86.93,55.41,30.04,0.0,28.5,29.72,22.33,14.8,0.83,11.602296296296297
2022-05-19,5.19,78.91,51.48,24.67,0.0,28.74,28.54,20.53,11.91,0.8,11.290541666666668
2022-05-20,4.74,82.47,57.02,30.14,0.0,26.56,29.13,20.75,12.33,0.53,10.960166666666666
2022-05-21,4.73,82.23,50.32,25.94,0.0,25.34,30.19,21.29,12.64,0.6,10.694541666666666
2022-05-22,4.4,68.37,43.9,12.56,0.0,22.47,33.77,23.22,12.51,0.47,10.452770833333334
2022-05-23,5.15,79.26,47.73,21.58,0.0,29.06,31.24,22.64,12.15,0.47,10.237166666666669
2022-05-24,5.29,75.4,41.98,18.48,0.0,26.81,31.16,22.45,14.03,0.83,10.0240625
2022-05-25,5.13,77.37,44.96,24.52,0.0,30.7,23.39,16.97,9.67,1.07,9.868541666666667
2022-05-26,4.86,90.12,53.29,29.81,0.0,30.28,24.55,17.84,8.62,0.58,9.731833333333332
2022-05-27,5.16,76.26,42.66,20.04,0.0,30.13,30.15,21.31,10.64,0.47,9.589083333333331
2022-05-28,5.33,74.25,39.98,17.93,0.0,29.43,33.11,23.24,11.24,0.51,9.420708333333334
2022-05-29,5.31,66.06,33.05,9.82,0.0,28.38,34.15,24.48,15.06,0.54,9.247291666666667
2022-05-30,5.2,70.37,39.61,21.56,0.0,29.12,29.48,22.28,13.64,0.56,9.112083333333333
2022-05-31,5.58,75.56,48.22,25.57,0.0,29.48,30.6,22.23,12.72,0.84,9.010041666666668
2022-06-01,5.55,85.95,58.02,29.9,0.0,29.19,30.58,22.22,12.79,0.86,8.912541666666668
2022-06-02,4.33,85.92,53.24,19.32,0.0,21.68,31.78,23.07,15.04,0.48,8.834625
2022-06-03,5.34,82.92,54.64,34.21,0.0,28.74,29.42,22.19,14.21,0.72,8.761916666666666
2022-06-04,5.42,73.74,45.49,23.06,0.0,29.08,30.46,22.45,13.82,0.69,8.673395833333332
2022-06-05,4.66,68.67,40.34,21.19,0.0,25.47,29.94,22.19,12.59,0.47,8.580458333333334
2022-06-06,5.69,64.29,38.31,15.31,0.0,30.31,32.75,23.66,13.5,0.68,8.4714375
2022-06-07,5.76,64.25,36.74,13.17,0.0,29.33,35.33,25.01,13.61,0.69,8.3295
2022-06-08,5.43,62.31,36.45,15.57,0.0,25.94,34.77,25.71,14.26,0.75,8.1971875
2022-06-09,5.89,77.53,46.15,29.41,0.0,29.48,31.55,25.08,17.98,0.86,8.079125
2022-06-10,5.97,89.78,55.42,25.29,0.0,29.8,32.04,24.23,15.83,0.95,7.9841875
2022-06-11,5.85,89.92,47.99,20.56,0.0,30.07,32.05,23.5,13.82,0.85,7.895083333333333
2022-06-12,5.77,71.14,34.21,14.67,0.0,28.94,33.16,23.92,13.45,0.83,7.787875
2022-06-13,5.22,44.88,28.47,13.57,0.0,24.43,35.34,25.28,15.74,0.7,7.711291666666667
2022-06-14,5.75,55.15,29.54,11.56,0.0,26.79,38.15,27.89,17.16,0.71,7.7168125
2022-06-15,5.51,56.23,33.6,14.02,0.0,23.56,36.7,27.85,20.27,0.82,7.721666666666667
2022-06-16,5.81,61.1,34.17,14.8,0.0,26.84,36.25,27.56,18.69,0.78,7.650875
2022-06-17,5.89,56.21,31.31,13.17,0.0,28.42,36.75,27.02,17.15,0.72,7.550166666666667
2022-06-18,6.17,52.1,29.96,13.83,0.0,28.66,36.16,27.06,16.14,0.93,7.452708333333334
2022-06-19,5.92,71.58,41.17,21.45,0.0,28.06,34.1,25.89,16.32,0.91,7.390145833333332
2022-06-20,5.18,80.73,54.87,32.39,0.0,23.79,32.9,25.04,16.49,0.9,7.3655
2022-06-21,3.74,87.32,63.39,27.93,4.2,16.7,31.21,23.02,18.02,0.55,7.693916666666666
2022-06-22,5.69,92.85,49.3,9.08,0.0,32.19,33.1,22.82,14.47,0.47,7.740958333333334
2022-06-23,5.69,71.48,37.39,11.68,0.0,31.4,32.13,23.5,13.71,0.6,7.643791666666666
2022-06-24,5.61,71.29,40.07,21.74,0.0,30.96,30.75,22.92,13.25,0.61,7.568583333333333
2022-06-25,5.9,66.47,38.49,19.27,0.0,31.03,32.74,23.84,13.85,0.74,7.606270833333333
2022-06-26,6.0,78.17,44.05,20.71,0.0,30.82,31.75,23.58,14.2,0.91,7.665833333333333
2022-06-27,5.57,78.53,48.37,14.65,0.0,28.88,31.49,23.04,14.08,0.77,7.5868125
2022-06-28,5.42,84.23,54.09,30.23,0.0,27.4,31.31,24.41,18.1,0.69,7.5957291666666675
2022-06-29,6.0,71.26,43.04,22.37,0.0,30.16,32.41,24.55,15.91,0.88,7.870208333333333
2022-06-30,5.8,70.01,43.62,20.92,0.0,29.15,32.55,24.61,14.61,0.84,8.2533125
2022-07-01,5.67,83.28,60.01,36.46,0.0,29.42,29.4,22.5,15.13,1.03,8.221791666666666
2022-07-02,5.52,88.98,58.78,31.75,0.0,27.64,30.6,23.54,16.1,0.94,8.192708333333334
2022-07-03,5.47,82.07,51.95,32.74,0.0,25.29,32.72,26.0,17.7,0.97,8.163583333333333
2022-07-04,5.68,81.21,49.92,25.4,0.0,26.12,35.5,27.48,19.14,0.78,8.088083333333334
2022-07-05,4.88,77.28,61.01,46.27,0.0,22.22,31.46,25.71,19.94,0.94,8.061708333333334
2022-07-06,5.62,86.28,64.06,39.79,0.0,26.7,31.94,25.69,20.95,0.94,8.071875
2022-07-07,5.28,87.82,57.03,31.91,0.0,25.9,31.97,24.78,17.99,0.74,8.030604166666667
2022-07-08,5.9,82.37,46.2,23.71,0.0,29.86,33.26,25.52,17.34,0.73,7.972625
2022-07-09,6.02,72.45,43.6,16.71,0.0,30.05,33.67,25.26,15.5,0.86,7.884895833333334
2022-07-10,6.05,83.17,47.09,18.97,0.0,29.46,34.66,26.02,16.31,0.85,7.7929375
2022-07-11,5.96,68.16,36.84,14.96,0.0,29.17,34.38,25.73,15.74,0.86,7.68775
2022-07-12,5.78,62.63,35.0,16.0,0.0,29.85,34.69,25.71,15.06,0.67,7.561645833333333
2022-07-13,5.88,55.75,29.08,9.74,0.0,29.3,37.13,27.63,17.2,0.69,7.497064516129032
2022-07-14,5.94,49.97,27.51,12.15,0.0,28.3,37.63,27.81,17.01,0.78,7.344090909090909
2022-07-15,5.86,54.5,32.19,14.41,0.0,29.4,36.19,26.99,16.22,0.7,7.262875
2022-07-16,5.8,61.64,32.86,13.56,0.0,29.32,36.62,27.35,16.42,0.64,7.175666666666667
