date,temp_max,temp_min,temp_avg,humidity_max,humidity_min,humidity_avg,windspeed_avg,solar_radiation_avg,precip,ETo,humedad_sonda
2023-01-04,14.6,-2.2,5.8,94.5,42.3,76.2,1.6,11.4,0.0,1.4,25.625333333333334
2023-01-05,15.1,-2.0,4.8,96.1,27.1,70.8,1.5,11.6,0.0,1.6,25.264291666666665
2023-01-06,13.5,-4.3,3.3,93.0,37.8,73.3,1.4,11.8,0.0,1.3,24.9231875
2023-01-07,13.1,-0.8,4.9,100.0,41.8,82.0,2.7,10.4,0.2,1.7,24.63727083333333
2023-01-08,14.8,5.8,10.3,90.4,54.5,78.2,6.5,4.7,0.2,2.3,24.758750000000003
2023-01-09,15.4,6.5,10.7,97.5,48.6,77.3,5.1,8.2,0.0,2.2,25.089
2023-01-10,15.5,1.7,7.9,100.0,47.0,85.0,2.0,9.4,0.0,1.5,25.001104166666668
2023-01-11,8.1,-2.3,3.4,100.0,87.5,97.9,1.4,5.8,0.2,0.5,24.74939583333333
2023-01-12,13.0,0.0,5.8,100.0,51.3,83.9,1.6,11.4,0.2,1.2,24.578437500000003
2023-01-13,12.9,-1.6,4.2,100.0,36.8,78.7,1.4,9.4,0.0,1.3,24.24772916666667
2023-01-14,14.1,-3.8,4.3,83.2,22.0,55.8,2.0,11.6,0.0,2.0,23.93525
2023-01-15,13.8,-3.8,5.3,91.3,40.7,67.0,3.6,10.7,0.0,2.2,23.694416666666665
2023-01-16,9.2,0.9,5.4,79.9,46.1,65.8,8.0,11.0,0.0,2.3,23.45833333333333
2023-01-17,12.6,3.5,8.4,87.1,42.6,57.1,9.8,10.8,0.8,3.0,23.36083333333333
2023-01-18,4.3,-1.8,1.7,95.6,50.2,68.0,6.0,8.4,2.0,1.4,24.418104166666662
2023-01-19,5.5,-3.6,1.6,83.8,47.6,65.3,5.1,13.0,0.0,1.6,27.6101875
2023-01-20,11.2,3.3,6.1,100.0,47.7,81.1,4.5,9.3,0.0,1.8,28.050979166666664
2023-01-21,10.3,0.8,5.2,100.0,36.4,74.4,3.4,8.6,0.0,1.8,27.77235416666667
2023-01-22,5.4,-3.4,1.0,61.2,27.2,40.0,2.9,13.7,0.0,1.8,27.1034375
2023-01-23,4.9,-5.9,0.1,64.4,35.6,47.4,2.0,13.7,0.0,1.3,26.476666666666663
2023-01-24,4.3,-6.0,-0.8,82.3,47.0,62.5,2.1,10.1,0.0,1.1,26.049125
2023-01-25,5.8,-8.2,-0.8,85.3,44.0,66.7,1.8,12.0,0.0,1.1,25.6761875
2023-01-26,3.9,-5.2,-0.4,86.8,51.5,67.0,2.5,6.4,0.0,1.0,25.407791666666668
2023-01-27,6.8,-8.5,-0.7,99.9,38.2,70.8,2.7,11.9,0.0,1.4,25.13470833333333
2023-01-28,6.4,-8.9,-1.2,80.7,31.6,58.1,1.6,13.9,0.0,1.3,24.796104166666662
2023-01-29,7.1,-8.5,-0.1,79.9,35.7,61.8,1.9,14.1,0.0,1.4,24.522875
2023-01-30,8.8,-4.8,2.2,85.1,37.4,62.8,1.4,13.4,0.0,1.3,24.759395833333333
2023-01-31,12.0,-8.3,1.0,81.8,9.5,51.6,1.8,14.9,0.0,2.1,24.45022916666667
2023-02-01,13.8,-5.6,2.9,92.9,13.2,52.2,1.7,15.0,0.0,2.1,24.24891666666667
2023-02-02,12.3,-6.3,2.5,95.5,14.7,51.4,2.2,14.9,0.0,2.2,24.069437500000003
2023-02-03,13.8,-6.6,3.1,54.4,14.9,35.5,2.0,15.4,0.0,2.5,23.791291666666663
2023-02-04,17.4,-6.1,4.7,59.0,8.1,32.6,1.7,15.7,0.0,2.8,23.5794375
2023-02-05,15.8,-6.0,5.1,59.5,13.1,34.5,2.0,15.8,0.0,2.7,23.359604166666667
2023-02-06,12.7,-6.7,2.2,95.4,25.8,65.5,3.0,14.8,2.2,2.5,23.102666666666668
2023-02-07,4.7,0.7,2.5,99.3,78.6,91.3,2.8,2.9,0.8,0.6,23.182729166666665
2023-02-08,8.1,1.2,4.3,94.3,60.5,80.6,2.8,8.0,0.0,1.2,23.427916666666665
