date,ETo,humidity_max,humidity_avg,humidity_min,precip,solar_radiation_avg,temp_max,temp_avg,temp_min,windspeed_avg,humedad_sonda
2023-01-04,0.61,96.53,87.12,68.38,0.0,5.9,14.23,9.21,3.34,0.32,16.93497916666667
2023-01-05,0.59,96.98,84.11,55.01,0.0,9.25,14.78,6.77,2.12,0.25,16.6393125
2023-01-06,0.63,96.93,75.95,37.39,0.0,10.36,17.65,6.2,-0.98,0.27,16.428166666666666
2023-01-07,0.8,95.47,71.43,38.15,0.0,10.56,18.49,7.84,-0.76,0.43,16.400229166666666
2023-01-08,0.7,88.57,72.72,55.33,0.0,4.03,16.99,10.67,4.86,0.3,16.713145833333332
2023-01-09,1.43,83.53,60.28,40.5,0.0,8.9,21.84,15.81,10.71,1.02,16.8490625
2023-01-10,0.94,93.35,69.9,37.65,0.0,10.89,21.39,11.45,5.35,0.44,16.559166666666666
2023-01-11,1.12,95.17,73.06,46.47,0.0,10.82,18.55,10.77,3.16,0.88,16.42425
2023-01-12,0.85,89.15,68.85,43.81,0.0,11.29,17.77,10.54,4.84,0.43,16.40625
2023-01-13,1.06,93.42,65.46,31.14,0.0,11.64,17.82,8.26,1.29,0.68,16.184229166666665
2023-01-14,0.76,94.8,67.63,32.27,0.0,11.47,17.6,6.79,-0.9,0.33,16.038666666666668
2023-01-15,1.47,88.88,61.94,33.41,0.0,11.21,20.18,10.0,0.72,1.04,16.09808333333333
2023-01-16,1.24,92.15,62.41,34.92,0.0,10.13,17.0,9.59,1.33,0.95,16.085125
2023-01-17,2.22,79.06,47.81,30.12,0.0,11.22,19.45,14.18,6.43,2.13,16.248520833333334
2023-01-18,1.89,76.49,50.1,36.35,0.6,12.55,11.43,8.63,5.96,2.74,15.847125
2023-01-19,1.59,61.76,43.12,26.39,0.0,12.71,13.27,8.84,2.78,1.47,15.695020833333333
2023-01-20,1.5,78.48,57.77,41.05,0.0,10.32,17.34,12.79,8.11,1.24,15.940291666666669
2023-01-21,1.72,82.8,45.87,16.23,0.0,13.07,15.24,10.49,6.64,1.4,15.944249999999998
2023-01-22,1.68,44.83,33.25,19.71,0.0,13.54,11.25,6.46,2.59,1.45,15.571583333333336
2023-01-23,1.14,67.9,41.68,27.17,0.0,13.11,10.36,5.3,-0.16,0.9,15.413125
2023-01-24,0.83,87.7,63.13,39.52,0.0,9.29,10.38,3.77,-3.48,0.52,15.396666666666668
2023-01-25,1.04,82.48,61.41,40.72,0.0,10.94,12.15,4.93,-1.57,0.78,15.4078125
2023-01-26,1.19,70.36,53.14,42.67,0.0,7.43,10.93,6.57,2.18,1.09,15.4013125
2023-01-27,1.42,73.9,48.15,27.22,0.0,13.93,12.92,6.58,0.01,1.11,15.3111875
2023-01-28,1.07,71.43,50.77,26.69,0.0,13.89,12.52,4.25,-1.67,0.6,15.235
2023-01-29,1.1,81.65,63.57,35.53,0.0,13.36,12.66,3.81,-4.6,0.7,15.237541666666669
2023-01-30,1.0,92.3,64.75,34.91,0.0,14.14,13.78,5.22,-0.91,0.43,15.333458333333333
2023-01-31,1.16,87.17,53.91,17.56,0.0,14.54,17.74,5.75,-2.8,0.46,15.2458125
2023-02-01,1.21,90.12,61.6,34.37,0.0,14.36,14.9,5.27,-3.59,0.65,15.252125
