date,ETo,humidity_max,humidity_avg,humidity_min,precip,solar_radiation_avg,temp_max,temp_avg,temp_min,windspeed_avg,humedad_sonda
2023-01-04,0.54,95.78,86.48,72.48,0.0,5.8,11.56,6.49,2.66,0.21,19.9391875
2023-01-05,0.63,95.83,78.08,49.16,0.0,9.67,13.89,7.35,3.21,0.29,19.8661875
2023-01-06,0.7,89.47,66.4,33.74,0.0,9.92,16.11,7.04,0.33,0.34,19.6824375
2023-01-07,0.84,83.98,62.16,34.89,0.0,10.0,16.02,8.38,2.41,0.5,19.576604166666662
2023-01-08,1.56,63.68,54.54,39.14,0.0,3.4,19.72,15.6,10.94,1.11,19.6725625
2023-01-09,1.65,77.66,53.98,32.57,0.0,7.66,20.76,15.39,7.42,1.27,19.607875
2023-01-10,0.87,91.03,64.94,33.26,0.0,9.72,18.86,10.7,5.22,0.4,19.29939583333333
2023-01-11,1.05,83.85,65.9,39.98,0.0,10.39,18.19,10.04,3.88,0.67,19.1378125
2023-01-12,0.81,92.88,72.27,44.73,0.0,9.62,16.25,8.94,4.11,0.4,19.051729166666664
2023-01-13,0.8,87.57,63.0,30.97,0.0,9.9,16.61,7.54,1.61,0.36,18.881541666666667
2023-01-14,0.81,74.7,55.12,30.68,0.0,10.33,16.29,7.41,0.93,0.37,18.75047916666667
2023-01-15,1.65,68.88,48.72,26.57,0.0,10.01,19.38,10.89,3.66,1.13,18.74952083333333
2023-01-16,1.96,61.99,44.63,28.57,0.0,9.27,16.2,10.77,5.91,1.74,18.644541666666665
2023-01-17,3.37,50.19,39.01,28.74,0.0,10.17,17.66,13.82,9.64,3.65,18.640541666666667
2023-01-18,1.58,82.9,51.01,36.92,1.5,9.46,8.91,6.42,2.33,2.6,18.413479166666665
2023-01-19,1.34,70.46,42.76,18.95,0.0,10.99,13.0,7.23,-0.47,1.05,18.4254375
2023-01-20,1.7,68.18,52.08,32.51,0.0,9.29,16.53,11.66,7.26,1.37,18.640916666666666
2023-01-21,1.36,83.33,50.55,21.61,0.0,8.78,14.53,8.86,5.0,0.96,18.51125
2023-01-22,1.57,43.57,28.14,18.76,0.0,11.84,10.0,5.28,0.24,1.38,18.22102083333333
2023-01-23,1.29,61.97,37.2,25.8,0.0,12.08,8.63,4.03,-1.0,1.2,18.114
2023-01-24,0.69,79.63,62.26,41.37,0.0,8.51,8.05,2.21,-3.85,0.33,18.06675
2023-01-25,0.8,90.2,67.34,42.1,0.0,7.04,9.75,2.73,-3.99,0.52,17.990624999999998
2023-01-26,1.08,62.76,51.31,42.25,0.0,4.25,8.24,5.05,1.08,1.0,17.957645833333334
2023-01-27,1.26,82.12,50.76,25.28,0.0,12.77,11.99,4.72,-2.98,0.93,17.946229166666665
2023-01-28,0.8,77.14,52.66,26.25,0.0,12.86,10.73,2.48,-4.05,0.3,17.864145833333335
2023-01-29,0.91,80.23,61.86,36.01,0.0,12.96,9.55,2.98,-4.67,0.48,17.816895833333334
2023-01-30,0.92,93.52,65.1,34.7,0.0,13.08,11.91,5.11,-0.7,0.34,17.867562500000002
2023-01-31,0.94,78.29,43.91,14.15,0.0,13.7,15.74,5.66,-2.24,0.29,17.766041666666666
2023-02-01,1.1,87.95,52.36,24.7,0.0,13.6,13.83,5.09,-2.87,0.49,17.72041666666667
2023-02-02,1.02,92.58,56.47,20.98,0.0,13.9,14.2,5.54,-0.22,0.34,17.691895833333334
2023-02-03,1.17,62.99,39.12,15.91,0.0,14.14,16.59,6.43,-0.75,0.42,17.6186875
2023-02-04,1.07,68.49,32.96,8.47,0.0,14.64,20.62,8.37,-1.26,0.27,17.592270833333334
2023-02-05,1.45,81.13,41.66,16.12,0.0,14.57,16.83,8.18,0.5,0.64,17.540958333333332
2023-02-06,0.96,95.32,81.23,60.27,5.9,8.87,10.38,4.49,-0.48,0.75,17.438770833333333
2023-02-07,0.7,95.9,86.32,73.74,2.1,4.74,7.87,5.91,4.25,0.37,20.049333333333333
2023-02-08,0.89,94.92,82.05,59.77,2.7,6.56,11.21,7.28,4.07,0.48,22.653479166666667
2023-02-09,0.71,95.83,89.06,69.37,1.8,3.93,8.03,6.19,5.06,0.45,29.9784375
2023-02-10,0.93,97.38,82.96,47.01,2.1,8.39,9.37,4.64,-0.12,0.47,30.801041666666663
2023-02-11,0.53,96.33,95.05,92.98,12.0,2.18,6.62,5.06,3.13,0.46,33.44077083333333
2023-02-12,0.7,96.07,87.79,72.12,0.2,4.01,8.67,6.51,5.17,0.28,33.4566875
2023-02-13,0.79,94.75,83.51,68.61,0.0,4.6,9.8,6.8,3.87,0.48,32.6360625
2023-02-14,0.58,89.95,83.76,78.3,0.0,1.53,8.24,7.41,6.27,0.16,32.3135
2023-02-15,0.72,91.33,82.17,70.02,0.0,3.35,10.61,8.18,6.32,0.21,32.0905625
2023-02-16,1.41,96.57,77.79,36.26,0.0,14.27,14.87,7.63,2.21,0.47,31.79870833333333
2023-02-17,1.26,96.78,80.15,46.0,0.0,11.3,13.34,7.46,2.22,0.49,31.369854166666663
2023-02-18,1.18,94.98,81.07,45.48,0.3,8.89,14.79,8.99,5.42,0.38,30.9694375
2023-02-19,1.5,96.45,70.31,34.47,0.1,13.26,16.6,8.86,2.31,0.48,30.6713125
2023-02-20,1.45,82.22,61.15,27.59,0.0,11.98,17.42,8.81,2.71,0.41,30.14197916666667
2023-02-21,1.75,91.72,66.74,33.32,6.3,14.16,20.33,11.15,5.36,0.5,29.700979166666663
2023-02-22,1.59,86.82,61.58,33.12,0.0,13.63,19.36,12.08,5.67,0.31,29.516562500000003
2023-02-23,1.7,85.52,72.06,57.05,0.0,15.96,15.53,9.62,4.5,0.59,29.04608333333333
2023-02-24,1.23,80.3,57.48,29.38,0.0,10.63,12.24,6.12,1.35,0.33,28.535375
2023-02-25,1.27,80.28,57.52,33.53,0.2,9.48,10.65,5.59,1.24,0.55,28.06822916666667
2023-02-26,2.18,78.51,48.64,30.42,0.0,16.85,12.76,7.88,1.83,1.49,27.674291666666665
2023-02-27,2.33,52.95,33.09,17.89,0.0,19.19,9.22,4.83,-0.41,1.67,27.162291666666665
2023-02-28,2.37,53.79,34.49,16.15,0.0,19.18,13.61,5.88,-0.68,1.22,26.703770833333333
2023-03-01,1.84,71.03,45.77,27.0,0.0,17.28,12.85,4.58,-2.63,0.77,26.288208333333333
2023-03-02,1.97,57.71,38.64,22.03,0.0,15.01,11.22,5.38,-0.51,1.06,25.90635416666667
2023-03-03,2.17,77.69,44.04,20.33,0.0,19.48,15.63,7.17,0.5,0.77,25.49835416666667
2023-03-04,2.01,90.45,59.46,23.34,0.0,19.2,16.06,7.31,-1.12,0.55,25.077
2023-03-05,1.93,93.1,56.05,24.4,2.9,14.07,17.05,8.95,1.05,0.68,24.722375
2023-03-06,1.93,96.47,66.47,34.26,0.1,13.79,16.97,10.63,3.93,0.71,25.05770833333333
2023-03-07,2.55,80.13,52.07,22.08,0.0,15.75,20.63,13.7,8.07,0.91,24.9419375
2023-03-08,2.91,67.08,46.92,30.14,0.0,16.58,24.73,17.74,8.99,0.98,24.51845833333333
2023-03-09,1.8,63.61,52.36,37.22,0.0,6.02,21.82,15.63,12.0,0.7,23.90964583333333
