date,temp_max,temp_min,temp_avg,humidity_max,humidity_min,humidity_avg,windspeed_avg,solar_radiation_avg,precip,ETo,humedad_sonda,ssm
2023-01-16,9.2,0.9,5.4,79.9,46.1,65.8,8.0,11.0,0.0,2.3,25.55933333333333,4.0
2023-01-28,6.4,-8.9,-1.2,80.7,31.6,58.1,1.6,13.9,0.0,1.3,25.601770833333333,0.0
2023-02-09,7.1,2.1,3.8,94.2,59.9,80.9,2.6,7.5,0.0,1.2,25.10008333333333,46.5
2023-02-21,18.8,2.6,10.2,85.8,25.3,59.1,2.4,13.6,0.6,3.1,25.739666666666665,35.5
2023-03-05,14.4,-3.4,5.5,92.0,13.2,51.4,2.4,11.7,0.4,2.9,24.632041666666662,1.5
2023-03-17,19.4,1.3,9.8,68.6,26.4,50.1,2.7,20.4,0.0,4.0,23.87670833333333,6.0
2023-03-29,25.0,2.9,14.2,75.3,8.5,33.1,2.1,25.1,0.0,5.3,20.746166666666667,19.5
2023-04-10,25.2,6.3,16.8,41.0,10.7,24.6,2.3,25.0,0.0,5.8,18.5415625,32.5
2023-04-22,21.2,7.8,13.7,71.0,32.2,48.2,3.1,20.2,0.0,4.7,16.944416666666665,37.0
2023-05-04,25.3,6.4,16.4,84.9,11.4,44.9,2.4,25.8,0.0,5.9,17.642708333333335,29.5
2023-05-16,23.8,6.1,15.4,51.4,5.0,29.8,2.7,30.5,0.0,6.7,16.1930625,30.0
2023-05-28,17.7,6.9,11.6,100.0,54.8,86.1,1.6,14.2,1.6,2.6,34.47897916666667,93.5
2023-06-09,23.0,12.0,17.4,100.0,42.9,72.2,2.3,26.3,0.2,4.8,32.44835416666667,73.0
2023-06-21,27.1,14.4,19.8,91.7,33.5,65.9,1.6,19.0,1.8,4.5,25.431875,73.0
2023-07-03,33.8,14.8,24.4,88.1,15.6,52.0,1.8,30.0,0.0,7.3,22.399270833333333,73.5
2023-07-15,35.0,14.2,25.4,80.5,8.6,36.1,2.4,30.3,0.0,8.4,19.789666666666665,53.5
2023-07-27,32.7,17.0,24.1,91.4,21.6,53.4,2.2,27.7,0.0,7.0,17.939958333333333,52.0
2023-08-08,36.9,18.0,26.1,100.0,18.9,55.6,2.0,25.2,0.0,7.3,16.456791666666668,49.5
2023-08-20,36.5,16.8,26.9,62.4,15.9,39.9,2.3,26.2,0.0,7.8,15.171270833333333,56.0
2023-09-01,29.1,13.2,21.1,81.5,25.1,50.1,2.3,21.1,0.0,5.5,14.159583333333332,51.5
2023-09-13,25.4,14.5,19.9,94.4,39.7,68.5,2.5,18.3,0.0,4.2,27.21539583333333,24.5
2023-09-25,27.6,8.6,18.3,78.5,12.1,44.5,2.5,21.9,0.0,5.5,28.067166666666665,9.0
2023-10-07,28.2,10.1,18.7,73.5,16.2,42.6,2.1,19.6,0.0,4.8,25.470625,21.0
2023-10-19,21.4,9.9,14.8,100.0,45.0,73.0,7.1,11.4,22.0,3.9,23.665916666666664,26.0
2023-10-31,13.8,3.5,9.0,87.4,39.5,69.0,1.1,5.8,0.2,1.4,25.5855,7.5
2023-11-12,20.8,5.4,12.1,97.8,40.3,74.0,2.8,14.2,0.0,2.7,23.35633333333333,9.0
2023-11-24,14.6,-6.2,3.5,85.6,22.3,54.5,1.7,12.3,0.0,1.9,20.730125,2.5
2023-12-06,9.7,4.4,6.9,98.5,86.3,94.1,0.8,3.1,2.0,0.5,19.6888125,52.5
2023-12-18,11.6,-8.0,1.3,75.4,32.8,54.0,1.3,9.3,0.0,1.2,19.45808333333333,3.0
2023-12-30,14.2,-1.6,5.7,70.8,16.3,46.4,1.9,9.3,0.0,2.0,19.37575,18.5
