date,ETo,humidity_max,humidity_avg,humidity_min,precip,solar_radiation_avg,temp_max,temp_avg,temp_min,windspeed_avg,humedad_sonda,ssm
2023-01-04,0.61,96.53,87.12,68.38,0.0,5.9,14.23,9.21,3.34,0.32,16.93497916666667,2.0
2023-01-16,1.24,92.15,62.41,34.92,0.0,10.13,17.0,9.59,1.33,0.95,16.085125,1.0
2023-01-28,1.07,71.43,50.77,26.69,0.0,13.89,12.52,4.25,-1.67,0.6,15.235,0.5
2023-02-09,0.98,85.4,76.85,58.63,0.1,5.32,11.46,8.09,4.49,0.78,15.4139375,23.0
2023-02-21,1.69,94.75,74.18,41.78,0.3,11.09,20.61,11.72,4.27,0.71,23.19158333333333,25.0
2023-03-05,1.68,95.1,63.94,25.87,3.4,11.92,17.22,9.06,0.32,0.53,20.4768125,0.0
2023-03-17,3.09,87.78,57.47,23.63,0.0,20.28,22.97,13.57,5.33,0.94,18.689041666666665,5.5
2023-03-29,3.86,94.02,58.87,21.38,0.0,23.65,24.84,15.2,7.0,1.1,42.5791875,7.5
2023-04-10,4.45,91.07,58.16,14.28,0.0,23.9,32.11,19.19,7.73,0.82,30.62558333333333,28.5
2023-04-22,3.53,82.25,56.44,28.05,0.0,21.15,26.57,17.86,9.88,0.45,45.078854166666666,29.0
2023-05-04,4.6,84.42,54.61,23.48,0.0,24.51,30.33,19.41,7.97,0.8,39.31704166666667,13.0
2023-05-16,5.6,86.52,45.21,20.65,0.0,30.89,25.91,18.56,11.83,1.42,32.51875,13.0
2023-05-28,3.05,96.72,83.97,51.71,1.5,16.8,24.44,16.94,13.06,0.48,45.62270833333333,43.5
2023-06-09,5.0,97.63,70.66,39.97,0.1,27.29,29.74,22.93,16.6,0.39,43.305375,75.5
2023-06-21,4.4,93.63,76.43,46.96,0.9,20.31,31.51,22.85,19.09,0.9,36.15554166666667,37.5
2023-07-03,6.67,87.75,57.78,34.86,0.0,28.44,34.6,27.17,18.61,1.76,29.50045833333333,46.5
2023-07-15,6.62,94.73,59.95,28.64,0.0,29.02,38.13,29.75,20.82,1.05,26.65516666666667,50.5
2023-07-27,6.02,92.47,65.6,40.35,0.0,26.35,34.27,27.58,21.1,1.49,24.641166666666667,54.5
2023-08-08,6.17,86.93,61.55,39.56,0.0,25.88,33.47,27.43,21.94,1.95,22.96283333333333,41.5
2023-08-20,5.97,94.23,68.64,35.96,0.0,25.75,37.24,28.51,20.67,1.31,22.1285625,39.0
2023-09-01,4.45,95.1,70.29,35.43,0.0,20.37,30.86,23.71,16.91,1.35,21.62189583333333,29.5
2023-09-13,3.67,95.05,75.31,52.43,0.0,18.84,29.26,23.53,17.38,1.09,23.5071875,21.5
2023-09-25,3.71,95.55,70.74,33.55,0.0,21.83,28.56,20.0,11.79,1.02,25.304,21.0
2023-10-07,3.17,94.43,72.22,37.33,0.0,18.94,29.89,20.79,11.98,0.86,24.1723125,25.5
2023-10-19,2.37,94.6,63.93,34.6,2.5,10.47,28.3,20.23,13.32,0.99,22.8150625,43.0
2023-10-31,1.07,89.08,68.07,44.76,0.0,7.26,18.77,13.83,9.81,0.27,22.030416666666667,22.5
2023-11-12,1.58,92.1,67.51,42.78,0.0,12.61,24.8,16.64,9.28,0.71,21.45322916666667,18.5
2023-11-24,0.96,78.44,49.64,21.4,0.0,12.29,21.91,8.86,-0.85,0.41,20.39389583333333,2.5
2023-12-06,0.61,96.73,89.07,70.57,0.4,6.1,14.24,9.92,6.69,0.3,20.59325,28.0
2023-12-18,0.62,94.18,62.31,31.4,0.0,10.48,16.65,5.68,-1.62,0.36,21.13575,0.0
2023-12-30,0.65,75.33,50.73,21.11,0.0,10.73,19.38,8.86,2.02,0.33,45.6688125,12.0
