date,ETo,humidity_max,humidity_avg,humidity_min,precip,solar_radiation_avg,temp_max,temp_avg,temp_min,windspeed_avg,humedad_sonda,ssm
2023-01-04,0.54,95.78,86.48,72.48,0.0,5.8,11.56,6.49,2.66,0.21,19.9391875,6.0
2023-01-16,1.96,61.99,44.63,28.57,0.0,9.27,16.2,10.77,5.91,1.74,18.644541666666665,24.5
2023-01-28,0.8,77.14,52.66,26.25,0.0,12.86,10.73,2.48,-4.05,0.3,17.864145833333335,6.5
2023-02-09,0.71,95.83,89.06,69.37,1.8,3.93,8.03,6.19,5.06,0.45,29.9784375,80.0
2023-02-21,1.75,91.72,66.74,33.32,6.3,14.16,20.33,11.15,5.36,0.5,29.700979166666663,34.5
2023-03-05,1.93,93.1,56.05,24.4,2.9,14.07,17.05,8.95,1.05,0.68,24.722375,6.0
2023-03-17,2.7,75.79,51.34,22.43,0.0,19.92,21.67,12.76,4.66,0.58,19.543666666666667,26.0
2023-03-29,3.56,92.42,57.24,17.04,0.0,23.33,24.64,13.74,4.4,0.81,16.482895833333334,25.5
2023-04-10,4.47,49.68,24.81,9.28,0.0,23.96,30.81,21.46,12.46,0.84,14.081666666666663,56.5
2023-04-22,3.35,66.65,42.27,22.9,0.3,18.92,24.85,17.13,10.14,0.54,12.2823125,56.0
2023-05-04,4.23,78.15,42.28,19.09,0.0,23.54,28.17,19.36,8.69,0.64,14.152020833333331,48.5
2023-05-16,5.59,70.28,34.09,13.92,0.0,30.79,24.75,18.18,10.57,1.41,17.71741666666667,31.5
2023-05-28,3.24,95.57,78.35,44.6,2.3,18.79,22.35,15.39,10.93,0.53,33.49191666666667,96.0
2023-06-09,4.51,96.32,67.18,36.97,0.1,24.26,27.18,21.04,14.78,0.62,31.78916666666667,96.5
2023-06-21,3.91,95.32,73.2,40.89,13.1,18.43,29.91,21.56,16.87,0.69,18.13675,46.5
2023-07-03,6.33,79.08,48.58,27.84,0.0,29.03,33.94,26.43,18.65,1.16,14.4333125,55.5
2023-07-15,6.16,91.7,52.24,27.02,0.0,29.03,36.37,28.19,18.17,0.81,11.8203125,69.0
2023-07-27,5.51,87.03,59.72,27.61,0.0,25.71,33.91,26.22,19.09,0.9,11.147958333333332,84.5
2023-08-08,5.82,77.33,54.94,29.59,0.0,24.94,33.75,26.51,20.97,1.36,10.300583333333334,64.5
2023-08-20,5.57,74.21,50.08,24.09,0.0,25.35,37.05,28.23,19.54,0.93,9.997708333333334,67.5
2023-09-01,4.43,79.38,49.15,23.62,0.0,20.72,30.58,23.65,16.48,1.09,11.221520833333336,53.5
2023-09-13,3.47,86.75,70.34,49.82,0.4,17.7,27.36,22.43,17.89,1.02,21.89314583333333,53.5
2023-09-25,3.63,86.55,60.33,18.54,0.0,21.31,28.08,19.58,11.1,0.92,21.9094375,26.5
2023-10-07,3.08,92.25,57.53,26.98,0.0,18.7,29.26,20.42,11.56,0.78,18.64425,37.5
2023-10-19,2.31,83.0,53.31,33.28,2.2,9.27,25.41,19.99,14.18,1.12,17.373479166666666,57.0
2023-10-31,1.0,71.68,56.94,41.12,0.0,5.38,16.36,12.87,8.01,0.27,16.697125,35.0
2023-11-12,1.88,74.77,55.03,34.54,0.0,11.87,24.32,16.83,9.75,0.99,16.156708333333334,35.5
2023-11-24,1.05,61.28,37.55,13.57,0.0,10.87,19.77,9.7,1.46,0.5,15.454604166666668,17.5
2023-12-06,0.66,94.47,83.21,67.39,0.5,5.61,13.0,9.57,7.63,0.41,15.3245,52.5
2023-12-18,0.62,86.75,60.31,31.39,0.0,9.27,13.64,4.36,-2.29,0.37,15.1304375,15.0
2023-12-30,0.88,59.27,39.34,19.58,0.0,9.15,17.01,9.24,2.6,0.51,15.113604166666669,29.5
