date,temp_max,temp_min,humidity_max,humidity_min,windspeed_avg,solar_radiation_avg,ETo,precip,humedad_sonda
2022-05-10,26.0,11.7,92.08,38.47,7.483333333333333,25.264800000000005,5.05214865990055,0.0,30.489448275862067
2022-05-11,25.9,11.8,90.58,36.59,7.975,25.1712,5.152718073987712,1.347,29.924645833333333
2022-05-12,24.8,13.2,90.62,43.64,9.925,24.3936,4.996868027470495,0.0,29.26233333333333
2022-05-13,28.3,14.3,91.44,44.14,8.299999999999999,24.282000000000004,5.259746977771027,1.011,28.75658333333333
2022-05-14,28.2,14.8,92.28,33.18,8.766666666666667,23.3712,5.491965150404312,0.0,28.175916666666662
2022-05-15,28.3,15.2,80.46,38.26,7.266666666666667,23.706,5.334453297947729,0.018,27.5654375
2022-05-16,30.1,15.8,87.93,39.51,7.837499999999999,24.498000000000005,5.64238860965536,0.912,26.9648125
2022-05-17,31.3,15.0,88.01,38.29,6.220833333333334,5.7564,3.147051259709163,0.0,26.307770833333333
2022-05-18,30.6,17.3,88.07,36.54,8.825000000000001,24.8328,6.01063868181786,0.0,25.61010416666667
2022-05-19,28.7,16.6,79.88,37.44,11.0625,24.7176,6.130591442125134,0.0,24.884604166666666
2022-05-20,29.2,18.4,73.07,41.46,14.1875,23.925600000000003,6.5496774130159405,0.0,24.291104166666667
2022-05-21,29.8,17.8,80.42,31.18,10.808333333333332,26.384400000000003,6.672152914078526,0.293,23.79697916666667
2022-05-22,33.9,15.9,77.36,28.49,6.4125000000000005,23.677200000000003,6.081384467264304,2.05,23.263479166666663
2022-05-23,32.1,19.2,72.96,29.94,10.183333333333334,26.820000000000004,7.149310765519316,1.784,22.941
2022-05-24,28.9,18.8,81.21,36.15,11.045833333333334,20.6064,5.771960377523324,0.0,22.497666666666664
2022-05-25,25.4,17.0,83.47,27.12,14.725,20.9664,6.023297586266295,7.556,22.0958125
2022-05-26,26.2,13.5,84.43,33.85,7.941666666666666,25.048800000000004,5.397915234795706,0.0,21.767
2022-05-27,31.8,14.4,72.86,23.26,7.883333333333333,26.182800000000004,6.627231487854009,0.0,21.37925
2022-05-28,32.8,16.3,84.16,22.64,9.116666666666667,25.8228,6.961682323466529,0.0,20.941041666666667
2022-05-29,34.9,18.0,60.98,21.13,8.933333333333334,22.960800000000003,7.216045860833391,0.0,20.47102083333333
2022-05-30,31.8,17.8,87.1,23.79,7.683333333333334,23.7312,6.203086876643089,0.0,19.966479166666662
2022-05-31,30.2,17.6,71.8,37.11,10.570833333333333,25.4304,6.552669546696392,0.0,19.566875
2022-06-01,30.5,17.9,96.92,44.56,8.924999999999999,25.0884,5.769667736726373,0.0,19.23139583333333
2022-06-02,32.7,18.0,91.71,31.19,8.541666666666666,16.4928,5.335180972446613,0.0,18.965229166666667
2022-06-03,31.5,19.9,91.75,39.84,9.495833333333334,23.785200000000003,6.048374562353939,0.0,18.833125
2022-06-04,31.8,17.5,90.59,18.11,9.9375,25.2936,7.004509348190117,0.0,18.511479166666668
2022-06-05,33.1,19.0,82.75,23.1,9.3125,23.9436,6.872833619152293,0.018,18.079291666666663
2022-06-06,33.6,17.3,59.82,20.06,8.091666666666667,25.9524,7.178294665178237,1.049,17.781979166666666
2022-06-07,34.3,18.9,75.19,24.32,10.295833333333333,25.887600000000003,7.590767790300365,0.046,17.471229166666667
2022-06-08,36.1,18.4,77.05,24.06,7.274999999999999,22.1004,6.56846881736041,0.0,17.159187499999998
2022-06-09,31.5,22.6,91.04,36.2,12.645833333333334,25.329600000000003,6.858697755681743,0.0,17.00916666666667
2022-06-10,32.1,19.0,93.93,36.8,9.908333333333331,25.812,6.510604023099271,0.0,16.78922916666667
2022-06-11,32.4,18.4,84.52,27.1,9.604166666666666,26.334000000000003,6.983857135189257,0.0,16.485041666666667
2022-06-12,33.4,17.9,74.29,18.98,9.820833333333333,25.6104,7.473104179943732,0.0,16.115312499999998
2022-06-13,34.6,18.8,57.26,19.61,10.783333333333331,23.9508,7.95358520108036,0.0,15.803624999999998
2022-06-14,36.8,20.0,66.18,19.12,10.375,25.059600000000003,8.24638931329841,0.0,15.600354166666667
2022-06-15,35.9,22.1,75.94,23.8,9.716666666666669,21.7728,7.219655239368638,0.0,15.496604166666666
2022-06-16,36.8,21.9,68.21,19.36,10.3,23.796000000000003,8.044181100704641,0.0,15.2891875
2022-06-17,38.0,21.8,54.68,17.25,10.095833333333331,25.2792,8.610357910222133,0.0,18.04389583333333
2022-06-18,37.4,21.2,49.82,19.36,10.379166666666666,25.297200000000004,8.594778011422521,0.0,19.0174375
2022-06-19,35.1,21.7,71.61,32.6,9.691666666666666,24.033600000000003,7.175738678299292,0.0,18.4288125
2022-06-20,33.5,21.4,87.78,39.59,11.35,22.251600000000003,6.497995236570931,0.037,18.164895833333333
2022-06-21,32.9,22.7,89.5,38.08,9.4875,16.304399999999998,5.327464171905996,0.0,19.6105
2022-06-22,31.6,21.0,92.14,29.89,9.941666666666666,26.280000000000005,6.778213407084265,0.0,25.2695
2022-06-23,33.0,18.1,87.05,18.66,9.954166666666667,26.478,7.395277985640337,0.0,24.8336875
2022-06-24,32.2,19.8,74.23,25.62,10.0625,24.379200000000004,7.022115291172945,0.0,24.26683333333333
2022-06-25,34.1,18.9,75.47,25.1,9.725,26.2512,7.449615700119034,0.548,23.58302083333333
2022-06-26,31.2,18.0,87.63,36.29,10.983333333333334,25.437600000000003,6.578325163005808,0.066,22.848458333333337
2022-06-27,31.2,19.0,91.6,29.27,10.095833333333331,24.7824,6.543992763717326,0.163,22.172583333333336
2022-06-28,31.5,22.4,81.05,41.76,9.583333333333334,25.002,6.4147167973393735,0.0,21.694333333333333
2022-06-29,32.4,19.9,88.53,34.38,9.641666666666667,25.394400000000005,6.625836459277975,0.0,21.096729166666663
2022-06-30,31.9,20.6,87.86,32.62,9.066666666666666,25.038000000000004,6.48648701074377,0.0,20.527729166666667
2022-07-01,30.7,21.1,90.52,41.95,12.970833333333331,23.9688,6.361842404751466,0.69,20.029979166666667
2022-07-02,30.7,22.2,86.61,38.6,14.641666666666666,22.8492,6.658400337469423,38.344,19.660604166666666
2022-07-03,33.2,22.3,78.27,35.45,10.125,22.3344,6.582323538892791,2.088,19.328208333333333
2022-07-04,35.7,24.0,77.89,38.0,8.9125,24.141600000000004,6.899536107337218,11.153,19.006375
2022-07-05,32.4,24.1,82.44,52.21,12.708333333333334,16.9668,5.459632326254454,2.949,18.666729166666663
2022-07-06,32.6,25.4,87.15,47.94,13.679166666666667,20.34,6.15149701710328,3.375,18.5581875
2022-07-07,32.4,22.9,83.29,38.41,11.054166666666667,24.9984,6.809585096162459,0.0,18.318875
2022-07-08,33.5,21.2,80.32,28.8,8.783333333333333,25.4232,6.900727698364244,0.0,37.95183333333333
2022-07-09,33.3,20.4,76.07,31.54,9.4625,25.642800000000005,7.001911098377755,0.708,43.80070833333334
2022-07-10,35.1,21.0,81.56,28.2,8.200000000000001,25.3584,6.972881507669181,3.24,42.25608333333333
2022-07-11,35.4,20.7,88.44,18.69,10.229166666666666,24.8832,7.628892085147245,0.0,40.403083333333335
2022-07-12,35.3,19.6,73.24,22.81,10.016666666666667,25.628400000000003,7.712455800607829,4.611,38.3280625
2022-07-13,38.1,20.3,73.22,15.76,7.695833333333333,25.9884,7.692053096716769,1.323,36.75216129032258
2022-07-14,37.3,21.1,59.31,20.73,8.895833333333334,25.7112,7.947440956487006,4.149,34.81854545454545
2022-07-15,36.5,21.3,80.83,21.78,8.704166666666667,25.5744,7.491877618763939,24.239,33.5255
2022-07-16,37.3,20.9,59.22,20.81,8.9625,24.948,7.862404329097174,2.946,32.120020833333335
2022-07-17,36.2,21.5,59.47,23.58,9.475,25.29,7.821496111833778,1.623,30.777104166666664
2022-07-18,36.2,22.1,63.36,25.88,9.879166666666666,25.1136,7.802155359087795,1.608,29.519458333333333
2022-07-19,37.1,21.5,75.2,22.4,9.3125,24.3468,7.625096509045276,4.401,28.38189583333333
2022-07-20,34.4,22.7,82.58,33.52,10.4625,24.642,7.081159661188488,14.745,27.380354166666667
2022-07-21,35.3,24.6,86.01,27.94,12.208333333333334,24.541200000000003,7.7016163160200595,11.369,26.48
2022-07-22,37.2,21.6,81.18,24.49,8.545833333333333,23.936400000000003,7.229722564160817,5.198,25.64558333333333
2022-07-23,36.9,23.0,79.81,30.48,9.725,24.094800000000003,7.354834262981683,19.899,24.8990625
2022-07-24,38.3,23.2,88.13,28.16,8.4375,23.860800000000005,7.172510515338415,0.0,24.2026875
2022-07-25,43.6,23.6,73.23,11.08,7.833333333333333,20.969999999999995,7.9485569365458835,0.0,23.523375
2022-07-26,35.2,26.6,90.11,44.02,12.454166666666666,23.547600000000003,6.902233199127902,0.0,22.926666666666662
2022-07-27,34.4,25.8,86.51,47.36,9.729166666666666,21.4164,6.043929510434811,0.0,22.41722916666667
2022-07-28,35.5,25.0,82.07,37.73,9.754166666666666,25.2468,7.0950473368685465,8.274,22.004583333333333
