date,temp_max,temp_min,humidity_max,humidity_min,windspeed_avg,solar_radiation_avg,ETo,precip,humedad_sonda,ssm
2023-01-16,7.6,1.8,95.09,81.1,21.383333333333336,37.375,0.8116551363169017,0.0,25.55933333333333,4.0
2023-01-28,5.0,-4.3,82.08,50.55,6.358333333333333,151.625,1.1276865184509204,0.0,25.601770833333333,0.0
2023-02-09,5.1,0.9,95.81,78.08,7.579166666666667,51.5,0.7436125875367091,0.0,25.10008333333333,46.5
2023-02-21,15.9,5.1,76.27,37.74,8.049999999999999,169.6,2.541157508395288,0.0,25.739666666666665,35.5
2023-03-05,11.8,0.0,80.82,27.37,9.704166666666667,158.1,2.5502423106634624,0.0,24.632041666666662,1.5
2023-03-17,17.8,6.3,70.86,30.65,8.641666666666667,232.6,3.600577710911088,0.6,23.87670833333333,6.0
2023-03-29,24.4,7.4,84.81,12.91,8.120833333333334,283.2,5.003506436546907,0.0,20.746166666666667,19.5
2023-04-10,23.8,10.6,36.72,17.7,12.433333333333332,298.1,6.389323219174607,10.9,18.5415625,32.5
2023-04-22,19.2,9.1,85.06,31.99,9.295833333333333,267.0,4.337855592233677,0.0,16.944416666666665,37.0
2023-05-04,23.0,11.9,50.71,18.19,9.645833333333334,266.9,5.670867460173114,0.0,17.642708333333335,29.5
2023-05-16,21.4,7.3,58.51,12.39,9.179166666666667,355.1,5.991120908210674,0.0,16.1930625,30.0
2023-05-28,15.7,8.4,98.68,68.68,5.291666666666667,314.0,3.773181230961332,0.0,34.47897916666667,93.5
2023-06-09,21.2,11.5,96.82,43.8,8.845833333333333,343.7,5.107029243806691,0.5,32.44835416666667,73.0
2023-06-21,21.4,16.3,93.81,64.78,5.6875,260.6,4.080920304181229,0.6,25.431875,73.0
2023-07-03,30.8,17.7,81.62,26.01,10.075,344.0,7.291892217705445,2.2,22.399270833333333,73.5
2023-07-15,32.6,18.7,55.97,12.92,11.954166666666666,364.0,8.826631334731943,0.0,19.789666666666665,53.5
2023-07-27,30.5,17.4,95.7,24.44,8.804166666666667,311.4,6.47244906111941,0.0,17.939958333333333,52.0
2023-08-08,33.5,17.8,95.11,27.23,8.1,293.9,6.433897898249415,0.0,16.456791666666668,49.5
2023-08-20,34.6,19.9,56.07,18.94,10.2625,283.4,7.510688159718804,0.4,15.171270833333333,56.0
2023-09-01,27.1,15.0,88.43,26.81,8.645833333333334,200.3,4.659955388448904,0.0,14.159583333333332,51.5
2023-09-13,22.6,14.7,93.18,51.48,7.058333333333334,254.5,3.849477271325246,0.0,27.21539583333333,24.5
2023-09-25,25.1,13.1,72.03,19.54,9.225,248.8,4.8793059063319335,6.1,28.067166666666665,9.0
2023-10-07,26.0,13.5,81.24,24.01,9.183333333333334,215.5,4.369287633886615,0.0,25.470625,21.0
2023-10-19,19.3,11.5,93.09,53.41,25.5625,180.0,3.3364036715804453,11.8,23.665916666666664,26.0
2023-10-31,11.2,5.3,83.95,44.8,4.020833333333333,80.6,1.2948301965334676,0.0,25.5855,7.5
2023-11-12,17.2,7.7,88.4,56.07,8.362499999999999,147.8,1.8386110983878887,0.0,23.35633333333333,9.0
2023-11-24,15.1,1.4,65.25,27.07,6.316666666666666,137.6,1.8462694935598485,0.0,20.730125,2.5
2023-12-06,9.5,4.2,95.28,76.63,3.033333333333333,29.6,0.626946956764713,0.0,19.6888125,52.5
2023-12-18,10.6,-0.8,50.57,27.43,7.808333333333334,122.3,1.7295939510711955,0.1,19.45808333333333,3.0
2023-12-30,13.2,3.8,61.46,30.24,6.8875,120.5,1.698792762843835,0.0,19.37575,18.5
